mode,q1,q2,q3,q4,q5,thRequestedS,thUsedS,E1J,E2J,E3J,E4J,E5J,ETotalJ,startupTimeS,success,assessmentScope,minimumVoltageV,maximumIceVolumeFraction,stopReason
preheat,1,1,0.9,1,1,35,35,875,875,787.5,875,875,4287.5,35,1,preheat_threshold_only,1.22562780069658,0.0117570818964006,五片平均温度同时达到0 degC
coheat,1,1,1,1,1,60,30.2437662556899,756.094156392247,756.094156392247,756.094156392247,756.094156392247,756.094156392247,3780.47078196124,30.2437662556899,1,loaded_startup,0.630819933922844,0.119704675930327,五片平均温度同时达到0 degC
