caseName,q1,q2,q3,q4,q5,minCellTemperatureC,T1C,T5C,minimumVoltageV,maximumIceVolumeFraction,chargeCcm2,observedStopTimeS,successBy25s,status
all_max,1,1,1,1,1,-3.54292014329042,-3.54292014329042,-3.53883702697817,0.630819933922844,0.0934699801936893,1.5625122706484,30.2437662556899,0,evaluated
center_reduced,1,1,0.8,1,1,-4.45535245562439,-4.45535245562439,-4.45123508083549,0.63365332591762,0.0927992901795885,1.56250367030083,25,0,evaluated
adjacent_reduced,1,0.8,1,0.8,1,-5.45969630865102,-5.45969630865102,-5.45580717958018,0.634015664649282,0.0924929473360116,1.56251183787838,25,0,evaluated
end_focused,1,0.8,0.8,0.8,1,NaN,NaN,NaN,NaN,NaN,NaN,5,0,numerical_failure_before_25s
