"辅助冷启动策略","加热功率密度分配/W·cm⁻²","加热持续时间/s","各片辅助加热能耗/J","总辅助加热能耗/J","总启动时间/s","最大冰体积分数","启动结果"
"纯预加热启动","(1, 1, 1, 1, 1)","33.5163","(837.907, 837.907, 837.907, 837.907, 837.907)","4189.537","33.5163","0.011603","成功"
"恒定功率协同启动","(1, 1, 1, 1, 0.995588043)","30.2539","(756.348, 756.348, 756.348, 756.348, 753.011)","3778.402","30.2539","0.119673","成功"
