mode,q1,q2,q3,q4,q5,requestedHeatingDurationS,heatingDurationS,startupTimeS,E1J,E2J,E3J,E4J,E5J,ETotalJ,maxIce,minimumVoltageV,chargeCcm2,success,assessmentScope
preheat,1,1,1,1,1,33.5257465337773,33.5257465337773,33.5257465337773,838.143663344432,838.143663344432,838.143663344432,838.143663344432,838.143663344432,4190.71831672216,0.0116027840826569,1.22500738853907,0,1,preheat_threshold_only
coheat,1,1,1,1,1,30.2537662556899,30.2437662556899,30.2437662556899,756.094156392247,756.094156392247,756.094156392247,756.094156392247,756.094156392247,3780.47078196124,0.119704675930327,0.630819933922844,2.28672805161591,1,loaded_startup
