start,evaluation,generation,q1,q2,q3,q4,q5,th,status,energyJ,startupTimeS,savedSeed
1,1,0,1,1,1,1,0.995588043208565,40,success,3778.40211026135,30.253912673188,1
1,2,0,1,0.5975,0.8505,0.5975,1,52.8859772727273,success,4008.13102150524,39.6305131282189,1
1,3,0,1,1,0.87,1,1,38.2310390272727,success,3809.33542362271,31.2881759640469,1
1,4,0,1,1,1,0.995487910109857,0.997794021604283,40,success,3778.74530382791,30.2706344685064,1
1,5,0,0.998,1,1,1,0.995588043208565,40,success,3780.83186512174,30.2854927751902,1
1,6,0,1,1,1,1,0.993588043208565,40,success,3780.80615142392,30.2852868014688,1
1,7,0,1,0.998,1,1,0.995588043208565,40,success,3779.74379969403,30.2767770748298,1
1,8,0,1,1,1,0.998,0.995588043208565,40,success,3779.72950516946,30.2766625717955,1
1,9,1,1,1,1,1,0.992154157251349,40,success,3782.53049140531,30.3078019809224,0
1,10,1,1,1,1,0.998,0.996888043208565,40,success,3778.69794351905,30.2605216439785,0
1,11,1,0.9987,1,0.8505,1,1,52.8859772727273,success,3815.26011428459,31.4712539328927,0
1,12,1,1,0.736375,0.987325,0.738375,0.997794021604283,49.5257098595455,success,3917.27380473772,35.1335322697761,0
1,13,1,1,1,1,0.995487910109857,0.999094021604283,40,success,3779.34653536982,30.267570635869,0
1,14,1,1,1,0.87,1,1,38.2310390272727,success,3809.33542362271,31.2881759640469,0
1,15,1,1,0.5975,0.935,0.5975,0.997132228085567,40,success,3991.66826573798,38.6870887108899,0
1,16,1,1,0.5962,0.8505,0.600432858428593,0.998566114042784,52.8859772727273,success,4008.82997222037,39.6354746064709,0
1,17,2,1,1,1,0.993855051681264,1,40,success,3779.52096161789,30.2733733558842,0
1,18,2,1,1,0.9155,0.996787910109857,0.996888043208565,38.8501753677273,success,3797.2438315309,30.939969295369,0
1,19,2,1,1,1,0.99712076853845,0.995515135647066,40,success,3780.40094875707,30.2878160659608,0
1,20,2,1,1,1,0.995487910109857,0.993443043208565,40,success,3783.97786811174,30.3389876790722,0
1,21,2,1,0.998,1,0.997067141571407,0.994154157251349,41.1498246322727,success,3781.75777787552,30.3194230231307,0
1,22,2,1,1,1,0.995067141571407,0.999166929165782,40,success,3779.31627923579,30.269436519846,0
1,23,2,1,1,1,0.995487910109857,1,38.8501753677273,success,3779.77121476621,30.2654818330495,0
1,24,2,1,1,1,0.998,0.992154157251349,40,success,3783.85914587908,30.3305992291291,0
2,1,0,1,1,1,1,0.995588043208565,40,success,3778.40211026135,30.253912673188,1
2,2,0,1,0.5975,0.8505,0.5975,1,52.8859772727273,success,4008.13102150524,39.6305131282189,1
2,3,0,1,1,0.87,1,1,38.2310390272727,success,3809.33542362271,31.2881759640469,1
2,4,0,1,1,1,0.995487910109857,0.997794021604283,40,success,3778.74530382791,30.2706344685064,1
2,5,0,0.4,0.4,0.4,0.4,0.4,75.4680422052307,physical_infeasible,3343.70053523933,NaN,1
2,6,0,1,0.3,0,0.3,1,55,physical_infeasible,3575,NaN,1
2,7,0,0.6,0.6,0.6,0.6,0.6,50.3120281368205,physical_infeasible,3773.40211026154,NaN,1
2,8,0,1,0.548,0.2455,0.548,1,42.1252139037433,physical_infeasible,3519.03505648396,NaN,1
2,9,1,0.4,0.661625,0.497175,0.658692141571407,0.398566114042784,67.092156977958,success,4097.91507087893,62.6578565226459,0
2,10,1,1,1,0.899575,0.5975,1,18.3271616040332,physical_infeasible,2060.46550676144,NaN,0
2,11,1,1,0.8913,1,0.888367141571407,1,51.5045882352941,success,3836.48330588096,32.1066985816895,0
2,12,1,1,1,1,0.8575,1,45.0333343515212,success,3868.68690455881,31.8574320498924,0
2,13,1,1,0.8913,1,0.4,0.997132228085567,51.5045882352941,success,4166.55742187414,38.8632227375473,0
2,14,1,1,1,1,1,1,31.5282207383394,success,3780.46135167888,30.243690813431,0
2,15,1,1,1,1,1,0.99492624968985,38.6186109625669,success,3779.1977148751,30.2642924116028,0
2,16,1,0.14,0.14,0.14,0.14,0.142867771914433,82.170860494164,physical_infeasible,1130.37717404827,NaN,0
2,17,2,1,1,0.9155,1,0.996790301434231,29.9908039773529,physical_infeasible,3683.08838775415,NaN,0
2,18,2,1,0.5975,1,0.605487910109857,0.995929969859901,48.6278069852139,success,3980.63426583669,37.9205726773143,0
2,19,2,1,1,1,0.995487910109857,1,39.1020971256685,success,3779.77121476621,30.2654818330495,0
2,20,2,1,1,1,1,0.992058477775417,44.1252674826462,success,3782.64550511673,30.3093044439044,0
2,21,2,1,1,1,1,0.997132228085567,32.6780453706121,success,3779.11865485298,30.2502994306459,0
2,22,2,1,1,1,0.995487910109857,1,41.1498246322727,success,3779.77121476621,30.2654818330495,0
2,23,2,1,0.809625,0.258175,0.809625,1,32.5995040441979,physical_infeasible,3160.05329921435,NaN,0
2,24,2,1,0.526845,0.8505,0.548,0.998135948255619,42.1252139037433,success,4039.70270253771,41.1848840946585,0
