temperatureC,success,successTimeS,stopTimeS,minimumCellVoltageV,minimumVoltageCellIndex,maximumIceVolumeFraction,maximumIceCellIndex,chargeUsedCcm2
-10,1,65.005821115903,65.005821115903,0.324078064505234,5,0.367072061095282,1,17.1019264509019
-11,1,73.3829588206874,73.3829588206874,0.316168245321943,1,0.39898527117213,1,19.3376275299832
-11.0625,1,73.8571982840998,73.8571982840998,0.30326033200854,1,0.400404319301972,1,19.4641890648257
-11.0703125,1,73.9160387149751,73.9160387149751,0.301404635867099,1,0.400590049523967,1,19.4798950670225
-11.078125,0,NaN,64.7378312819801,0.299999999999997,1,0.400203037500151,1,17.030408371851
-11.09375,0,NaN,64.4163544210704,0.299999999999999,1,0.399822442863302,1,16.9446113284542
-11.125,0,NaN,64.1372259421952,0.299999999999998,1,0.399474543709217,1,16.8701189715627
-11.25,0,NaN,63.6900224295036,0.3,1,0.398863346422944,1,16.7507649273056
-11.5,0,NaN,63.4304044497842,0.299999999999984,1,0.398437910182423,1,16.6814809205567
-12,0,NaN,63.4166310836256,0.299999999999982,1,0.398327701406341,1,16.6778000662779
