index,q_1,q_2,q_3,q_4,q_5,th,status,energyJ,startupTimeS,accepted,bestEnergyJ
1,0.7,0.7,0.7,0.7,0.7,43.1245955458461,physical_infeasible,3773.40211026154,NaN,0,3778.40211026154
2,0.6,0.6,0.6,0.6,0.6,50.3120281368205,physical_infeasible,3773.40211026154,NaN,0,3778.40211026154
3,0.9,0.9,0.9,0.9,0.9,33.5413520912137,physical_infeasible,3773.40211026154,NaN,0,3778.40211026154
4,0.85,1,1,1,0.85,32.1140605128641,physical_infeasible,3773.40211026154,NaN,0,3778.40211026154
5,1,1,1,1,0.995338043208565,40,success,3778.70256150038,30.2578326336711,0,3778.40211026154
6,1,1,1,1,0.995838043208565,40,success,3778.51249954628,30.2532825673391,0,3778.40211026154
7,0.5,0.5,0.5,0.5,0.5,60.3744337641846,physical_infeasible,3773.40211026154,NaN,0,3778.40211026154
8,0.4,0.4,0.4,0.4,0.4,75.4680422052307,physical_infeasible,3343.70053523933,NaN,0,3778.40211026154
